,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f,inner_loss_pre_adapt,inner_loss_i_pre_adapt,inner_loss_b_pre_adapt,inner_loss_f_pre_adapt
0,[0.10175211 0.14944016 0.05647129 0.03486361 0.02178932 0.01608696],[0.00063782 0.08581818 0.03849617 0.02527976 0.01704065 0.01231844],[0.00036012 0.01329657 0.00312759 0.00501981 0.00291322 0.00239093],[0.10075416 0.05032541 0.01484752 0.00456404 0.00183545 0.00137759],[0.10175211 0.14944016 0.05647129 0.03486361 0.02178932 0.01608696],[0.00063782 0.08581818 0.03849617 0.02527976 0.01704065 0.01231844],[0.00036012 0.01329657 0.00312759 0.00501981 0.00291322 0.00239093],[0.10075416 0.05032541 0.01484752 0.00456404 0.00183545 0.00137759]
1,[3.98670111 4.15565714 3.25527257 0.44418374 0.01863025 0.00886103],"[9.64441198e-04 1.98798991e+00 1.71129868e+00 2.20568645e-01
 8.50045909e-03 3.30026297e-03]","[3.29647414e-04 2.15668037e+00 1.53911567e+00 2.20833708e-01
 7.93334498e-03 3.92818819e-03]","[3.98540698e+00 1.09866099e-02 4.85813531e-03 2.78137527e-03
 2.19644696e-03 1.63257522e-03]",[3.98670111 4.15565714 3.25527257 0.44418374 0.01863025 0.00886103],"[9.64441198e-04 1.98798991e+00 1.71129868e+00 2.20568645e-01
 8.50045909e-03 3.30026297e-03]","[3.29647414e-04 2.15668037e+00 1.53911567e+00 2.20833708e-01
 7.93334498e-03 3.92818819e-03]","[3.98540698e+00 1.09866099e-02 4.85813531e-03 2.78137527e-03
 2.19644696e-03 1.63257522e-03]"
2,[0.01652763 0.01834518 0.00959776 0.01424954 0.00538195 0.00391121],[0.00114357 0.00204549 0.0010529  0.00134085 0.00233361 0.00154605],[0.00032429 0.00193307 0.00051299 0.00074543 0.00171915 0.00120601],[0.01505978 0.01436662 0.00803188 0.01216326 0.00132919 0.00115915],[0.01652763 0.01834518 0.00959776 0.01424954 0.00538195 0.00391121],[0.00114357 0.00204549 0.0010529  0.00134085 0.00233361 0.00154605],[0.00032429 0.00193307 0.00051299 0.00074543 0.00171915 0.00120601],[0.01505978 0.01436662 0.00803188 0.01216326 0.00132919 0.00115915]
3,"[7.99872608e+01 2.60411574e+02 7.58335373e+02 1.99471197e+01
 4.52866210e-01 4.82200195e-02]","[1.41056341e-03 1.31851631e+02 3.76092386e+02 1.00382717e+01
 2.17901151e-01 3.08155979e-02]","[3.61269969e-04 1.28481345e+02 3.82121125e+02 9.86620178e+00
 2.29934872e-01 1.47035121e-02]","[7.99854890e+01 7.85978180e-02 1.21833659e-01 4.26457083e-02
 5.03017718e-03 2.70090942e-03]","[7.99872608e+01 2.60411574e+02 7.58335373e+02 1.99471197e+01
 4.52866210e-01 4.82200195e-02]","[1.41056341e-03 1.31851631e+02 3.76092386e+02 1.00382717e+01
 2.17901151e-01 3.08155979e-02]","[3.61269969e-04 1.28481345e+02 3.82121125e+02 9.86620178e+00
 2.29934872e-01 1.47035121e-02]","[7.99854890e+01 7.85978180e-02 1.21833659e-01 4.26457083e-02
 5.03017718e-03 2.70090942e-03]"
4,"[1.23961662e+01 2.37983438e+01 7.00009086e-01 8.71860551e-03
 6.11067914e-03 5.04192998e-03]","[1.73813917e-03 1.19987434e+01 3.29255924e-01 2.66342938e-03
 2.40585430e-03 1.37044160e-03]","[3.76767075e-04 1.17852975e+01 3.64300249e-01 3.74554575e-03
 1.59808057e-03 1.68393916e-03]","[1.23940510e+01 1.43016585e-02 6.45291265e-03 2.30963067e-03
 2.10674435e-03 1.98754916e-03]","[1.23961662e+01 2.37983438e+01 7.00009086e-01 8.71860551e-03
 6.11067914e-03 5.04192998e-03]","[1.73813917e-03 1.19987434e+01 3.29255924e-01 2.66342938e-03
 2.40585430e-03 1.37044160e-03]","[3.76767075e-04 1.17852975e+01 3.64300249e-01 3.74554575e-03
 1.59808057e-03 1.68393916e-03]","[1.23940510e+01 1.43016585e-02 6.45291265e-03 2.30963067e-03
 2.10674435e-03 1.98754916e-03]"
5,"[7.44244155e+01 1.45536369e+03 1.22543593e+02 2.95560290e+00
 1.97620228e-01 7.14532534e-02]","[1.95896410e-03 7.30124534e+02 6.07161612e+01 1.36093205e+00
 1.12367836e-01 3.53681838e-02]","[3.68924211e-04 7.25223399e+02 6.17356444e+01 1.59152427e+00
 8.34541330e-02 3.43642641e-02]","[7.44220875e+01 1.57591678e-02 9.17860926e-02 3.14659220e-03
 1.79826050e-03 1.72080399e-03]","[7.44244155e+01 1.45536369e+03 1.22543593e+02 2.95560290e+00
 1.97620228e-01 7.14532534e-02]","[1.95896410e-03 7.30124534e+02 6.07161612e+01 1.36093205e+00
 1.12367836e-01 3.53681838e-02]","[3.68924211e-04 7.25223399e+02 6.17356444e+01 1.59152427e+00
 8.34541330e-02 3.43642641e-02]","[7.44220875e+01 1.57591678e-02 9.17860926e-02 3.14659220e-03
 1.79826050e-03 1.72080399e-03]"
6,"[2.07533485e+00 1.42400767e+01 6.41806161e-02 1.69538981e-02
 1.51580799e-02 1.23842418e-02]","[2.77473922e-03 7.45171013e+00 5.08785065e-02 6.50433709e-03
 7.07095549e-03 5.21411551e-03]","[3.74826938e-04 6.77869227e+00 9.19241297e-03 6.85344457e-03
 4.72856270e-03 6.14334763e-03]","[2.07218524e+00 9.67435911e-03 4.10969766e-03 3.59611665e-03
 3.35856108e-03 1.02677815e-03]","[2.07533485e+00 1.42400767e+01 6.41806161e-02 1.69538981e-02
 1.51580799e-02 1.23842418e-02]","[2.77473922e-03 7.45171013e+00 5.08785065e-02 6.50433709e-03
 7.07095549e-03 5.21411551e-03]","[3.74826938e-04 6.77869227e+00 9.19241297e-03 6.85344457e-03
 4.72856270e-03 6.14334763e-03]","[2.07218524e+00 9.67435911e-03 4.10969766e-03 3.59611665e-03
 3.35856108e-03 1.02677815e-03]"
7,[ 6.75910434 10.03181871  9.49018009  3.81340294  2.71320056  1.30284733],"[2.89398382e-03 4.86897905e+00 6.12286242e+00 1.63722463e+00
 9.78760372e-01 1.82074935e-01]","[3.67942724e-04 5.14051129e+00 3.34302382e+00 2.16562217e+00
 1.73237748e+00 1.11949111e+00]","[6.75584234e+00 2.23279430e-02 2.42941098e-02 1.05560582e-02
 2.06267420e-03 1.28125831e-03]",[ 6.75910434 10.03181871  9.49018009  3.81340294  2.71320056  1.30284733],"[2.89398382e-03 4.86897905e+00 6.12286242e+00 1.63722463e+00
 9.78760372e-01 1.82074935e-01]","[3.67942724e-04 5.14051129e+00 3.34302382e+00 2.16562217e+00
 1.73237748e+00 1.11949111e+00]","[6.75584234e+00 2.23279430e-02 2.42941098e-02 1.05560582e-02
 2.06267420e-03 1.28125831e-03]"
8,"[2.58015448e+01 2.55970294e+02 2.19994764e-01 1.57239895e+00
 2.57366391e-01 1.25966151e-01]","[3.53146257e-03 1.26937927e+02 9.34833576e-02 8.31600474e-01
 1.40420643e-01 5.79674248e-02]","[3.54934599e-04 1.28963968e+02 8.70101000e-02 7.36490647e-01
 1.13483234e-01 6.69795494e-02]","[2.57976592e+01 6.83995008e-02 3.95013040e-02 4.30783713e-03
 3.46251555e-03 1.01918213e-03]","[2.58015448e+01 2.55970294e+02 2.19994764e-01 1.57239895e+00
 2.57366391e-01 1.25966151e-01]","[3.53146257e-03 1.26937927e+02 9.34833576e-02 8.31600474e-01
 1.40420643e-01 5.79674248e-02]","[3.54934599e-04 1.28963968e+02 8.70101000e-02 7.36490647e-01
 1.13483234e-01 6.69795494e-02]","[2.57976592e+01 6.83995008e-02 3.95013040e-02 4.30783713e-03
 3.46251555e-03 1.01918213e-03]"
9,"[2.46920703e+01 5.64211802e+01 3.31270931e+01 7.04807891e-01
 4.43414544e-02 2.41452312e-02]","[3.95178203e-03 2.86335757e+01 1.63185051e+01 3.31328195e-01
 2.13933212e-02 1.29263281e-02]","[3.54317155e-04 2.77428409e+01 1.67963326e+01 3.70453437e-01
 2.12160999e-02 9.53447556e-03]","[2.46877636e+01 4.47660755e-02 1.22554201e-02 3.02624214e-03
 1.73203324e-03 1.68442743e-03]","[2.46920703e+01 5.64211802e+01 3.31270931e+01 7.04807891e-01
 4.43414544e-02 2.41452312e-02]","[3.95178203e-03 2.86335757e+01 1.63185051e+01 3.31328195e-01
 2.13933212e-02 1.29263281e-02]","[3.54317155e-04 2.77428409e+01 1.67963326e+01 3.70453437e-01
 2.12160999e-02 9.53447556e-03]","[2.46877636e+01 4.47660755e-02 1.22554201e-02 3.02624214e-03
 1.73203324e-03 1.68442743e-03]"
