,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f
0,[0.5372748  0.48464757 0.44183576 0.40690213 0.37834592 0.35498325],[0.50271042 0.45352669 0.4115064  0.3754124  0.34427635 0.31732476],[0.03455631 0.03111276 0.03032078 0.03148036 0.03405919 0.0376469 ],"[8.06617504e-06 8.11863618e-06 8.58415947e-06 9.36166162e-06
 1.03789936e-05 1.15828869e-05]"
1,[0.56635507 0.50640612 0.45756611 0.41766799 0.38502497 0.35830122],[0.5358854  0.48132865 0.43473545 0.39473733 0.36025956 0.33044157],[0.03046205 0.02507036 0.02282361 0.02292334 0.02475759 0.02785111],"[7.62279399e-06 7.11605896e-06 7.04899971e-06 7.31169984e-06
 7.82558642e-06 8.53279840e-06]"
2,[0.59783922 0.535636   0.48487286 0.44334382 0.40932595 0.38145022],[0.57067239 0.51325169 0.46409989 0.42181766 0.38530266 0.3536695 ],[0.02715767 0.02237577 0.02076453 0.02151743 0.02401399 0.02777063],"[9.15563439e-06 8.54680673e-06 8.44859581e-06 8.73120260e-06
 9.30219547e-06 1.00936805e-05]"
3,[0.56197024 0.50490921 0.45827043 0.42007256 0.3887581  0.36308297],[0.53803936 0.48467579 0.43890592 0.39946954 0.365367   0.33579073],[0.02392083 0.02022391 0.01935503 0.02059319 0.0233806  0.02728085],"[1.00497721e-05 9.50803271e-06 9.48119588e-06 9.84174456e-06
 1.04974940e-05 1.13797674e-05]"
4,[0.49107774 0.4429253  0.40351136 0.37119537 0.34468047 0.32292627],[0.4700339  0.42433793 0.38506733 0.35117484 0.32182469 0.29633828],[0.02103212 0.01857619 0.01843292 0.0200091  0.02284377 0.02657517],"[1.17122680e-05 1.11718382e-05 1.11135294e-05 1.14214524e-05
 1.20110362e-05 1.28188188e-05]"
5,[0.50785241 0.45585873 0.41324094 0.37825752 0.34952669 0.32593618],[0.48901808 0.4404838  0.39875976 0.36274427 0.33155565 0.30447627],[0.01881849 0.0153601  0.01446683 0.01549898 0.01795654 0.02144495],"[1.58388398e-05 1.48320003e-05 1.43480776e-05 1.42648719e-05
 1.44924629e-05 1.49629028e-05]"
6,[0.55846881 0.50655453 0.46396306 0.42897479 0.40022125 0.37659837],[0.5418316  0.49074798 0.44668487 0.40852943 0.37538697 0.34652635],[0.01661812 0.01578759 0.01725877 0.02042503 0.02481269 0.03004889],"[1.90971182e-05 1.89617488e-05 1.94186041e-05 2.03296435e-05
 2.15921567e-05 2.31276007e-05]"
7,[0.59961404 0.54046339 0.49186973 0.45190818 0.41904079 0.3920222 ],[0.58515601 0.52837048 0.47938974 0.43698538 0.40016704 0.36812336],[0.0144344  0.01207048 0.01245804 0.01490077 0.01885122 0.02387546],"[2.36405702e-05 2.24347349e-05 2.19517463e-05 2.20258941e-05
 2.25337906e-05 2.33811148e-05]"
8,[0.47662507 0.43147037 0.39435737 0.36383014 0.33871887 0.31807305],[0.46403874 0.41999071 0.38195786 0.34900607 0.32037666 0.29544487],[0.01256094 0.01145482 0.01237468 0.01479882 0.01831623 0.02260123],"[2.53771914e-05 2.48413586e-05 2.48347584e-05 2.52412104e-05
 2.59721257e-05 2.69583742e-05]"
9,[0.51585296 0.4665553  0.42597908 0.39255964 0.36503851 0.34239112],[0.50503236 0.45694128 0.41536274 0.37929449 0.34792276 0.32057685],[0.01079027 0.00958479 0.01058752 0.01323622 0.01708632 0.021784  ],"[3.03253625e-05 2.92392119e-05 2.88195543e-05 2.89206591e-05
 2.94326414e-05 3.02705137e-05]"
10,[0.50679645 0.45923818 0.42007973 0.38782011 0.36124884 0.33937864],[0.4975402  0.45064412 0.41006925 0.37485001 0.34419965 0.31746817],[0.00921962 0.00855811 0.00997452 0.01293363 0.01701177 0.02187177],"[3.66368174e-05 3.59590656e-05 3.59543329e-05 3.64785034e-05
 3.74212810e-05 3.86962106e-05]"
11,[0.52588034 0.47609639 0.43507363 0.401259   0.3733952  0.35045381],[0.51788685 0.46891231 0.42651548 0.38970126 0.35765555 0.32970346],[0.00795502 0.00714669 0.00852112 0.01152051 0.01570177 0.02071145],"[3.84731852e-05 3.73935799e-05 3.70292087e-05 3.72310720e-05
 3.78840715e-05 3.88972823e-05]"
12,[0.47474164 0.43238856 0.3975001  0.36874363 0.34504291 0.32551981],[0.46771555 0.4248408  0.38769585 0.35541113 0.32727619 0.30270307],[0.00697522 0.00749651 0.00975197 0.01327872 0.01771107 0.02275888],"[5.08735154e-05 5.12627640e-05 5.22744597e-05 5.37755846e-05
 5.56631634e-05 5.78556357e-05]"
13,[0.50002078 0.45664814 0.42091705 0.39146059 0.3671761  0.34716471],[0.49407528 0.44943089 0.4107251  0.37705726 0.34769219 0.32202184],[0.0058879  0.0071578  0.01013011 0.01433868 0.01941612 0.02507167],"[5.75986620e-05 5.94448418e-05 6.18352171e-05 6.46489390e-05
 6.77920290e-05 7.11896996e-05]"
14,[0.50877062 0.4615986  0.42266687 0.39052988 0.36401432 0.34215783],[0.50380557 0.45677333 0.41597822 0.38048963 0.34954466 0.3225095 ],[0.00489864 0.00476006 0.00662383 0.0099752  0.01440384 0.01958134],"[6.64011755e-05 6.52153936e-05 6.48186730e-05 6.50582651e-05
 6.58146188e-05 6.69917142e-05]"
15,[0.46284112 0.42147942 0.38737627 0.35924537 0.33604486 0.3169226 ],[0.45876237 0.4167267  0.38027421 0.34856565 0.32091344 0.29674707],[0.00401096 0.00468468 0.00703315 0.01060943 0.01505936 0.02010136],"[6.77938677e-05 6.80386803e-05 6.89111967e-05 7.02866728e-05
 7.20670073e-05 7.41731485e-05]"
16,[0.4989117  0.45447721 0.41784599 0.38763092 0.36271012 0.34216699],[0.49556162 0.4502497  0.41095701 0.37677561 0.34696276 0.32090295],[0.0032673  0.00414372 0.00680344 0.01076744 0.01565668 0.02117019],"[8.27784300e-05 8.37978690e-05 8.55469685e-05 8.78790381e-05
 9.06783276e-05 9.38512288e-05]"
17,[0.42491637 0.38802914 0.35766252 0.33264015 0.31201423 0.29501386],[0.42210954 0.38402248 0.35102572 0.32234032 0.29733053 0.27547106],[0.00271611 0.00391307 0.00653984 0.01019909 0.0145789  0.0194337 ],"[9.07227882e-05 9.35938194e-05 9.69689642e-05 1.00735257e-04
 1.04803467e-04 1.09101509e-04]"
18,[0.51357846 0.46699787 0.42852511 0.39674611 0.37051004 0.34887107],[0.51125773 0.46412771 0.42319406 0.38754259 0.35642132 0.32920377],[0.00222699 0.00277729 0.00523817 0.00910994 0.01399386 0.0195707 ],"[9.37300941e-05 9.28778983e-05 9.28811102e-05 9.35822651e-05
 9.48567430e-05 9.66031115e-05]"
19,[0.54303325 0.49388224 0.45327624 0.4197268  0.39202233 0.36916686],[0.54103825 0.49123028 0.44795802 0.41025885 0.37734101 0.34854469],[0.00187711 0.0025355  0.00520222 0.00935157 0.01456391 0.02050312],[0.00011788 0.00011645 0.000116   0.00011637 0.00011742 0.00011904]
20,[0.45984336 0.41907545 0.38546796 0.35774447 0.3348729  0.3160107 ],[0.45820978 0.41647991 0.380291   0.34880617 0.32134039 0.29732593],[0.00150065 0.00246089 0.00503986 0.00879816 0.01338887 0.01853723],[0.00013293 0.00013465 0.0001371  0.00014014 0.00014364 0.00014753]
21,[0.48594628 0.44297303 0.40754228 0.37831034 0.35419115 0.3342981 ],[0.48454947 0.44047721 0.40224633 0.36897558 0.33994404 0.31455442],[0.00124611 0.00234167 0.00513767 0.0091718  0.01407903 0.01957014],[0.0001507  0.00015415 0.00015828 0.00016297 0.00016808 0.00017354]
22,[0.4651723  0.42339856 0.38890398 0.36041866 0.33690717 0.31751785],[0.46396734 0.42138997 0.38440385 0.35218775 0.32406392 0.29946639],[0.00103268 0.00183647 0.00432727 0.00805655 0.01266676 0.0178723 ],[0.00017228 0.00017212 0.00017286 0.00017436 0.00017649 0.00017916]
23,[0.4835553  0.44030618 0.40463991 0.37521267 0.35093581 0.3309187 ],[0.48252298 0.43833261 0.39998911 0.36661693 0.33749821 0.31203682],[0.00084902 0.00178963 0.00446524 0.00840776 0.0132465  0.01868707],[0.0001833  0.00018394 0.00018555 0.00018798 0.0001911  0.00019481]
24,[0.4696451  0.42802798 0.39377107 0.36554408 0.34227671 0.32309889],[0.46865846 0.4259336  0.38892096 0.35674551 0.3286941  0.30417798],[0.00077941 0.00188195 0.00463179 0.00857385 0.01335103 0.01868215],[0.00020723 0.00021243 0.00021831 0.00022473 0.00023158 0.00023876]
25,[0.46680707 0.42520472 0.39096733 0.3627616  0.33951561 0.32035838],[0.46579443 0.42317215 0.3862556  0.35416916 0.32619989 0.30175946],[0.0007817  0.00179776 0.00447214 0.00834735 0.01306452 0.01834111],[0.00023095 0.00023482 0.00023959 0.00024509 0.00025121 0.00025782]
26,[0.57037382 0.51939288 0.47736549 0.44270391 0.41412262 0.39056988],[0.56924332 0.51701058 0.47168277 0.43222795 0.39780069 0.36769888],[0.00087455 0.00212639 0.00542538 0.01021594 0.01605816 0.02260256],[0.00025595 0.00025591 0.00025734 0.00026002 0.00026377 0.00026844]
27,[0.52414275 0.47741237 0.4389693  0.40730564 0.38121259 0.35970989],[0.52292975 0.47505718 0.43360225 0.39757435 0.36616953 0.3387259 ],[0.00094538 0.00208063 0.00508447 0.00943982 0.01474197 0.02067267],[0.00026763 0.00027457 0.00028258 0.00029147 0.00030109 0.00031131]
28,[0.50416159 0.4591988  0.42213655 0.39157422 0.36637685 0.34561545],[0.50265771 0.45653771 0.41651219 0.38167283 0.35127433 0.32469705],[0.00118766 0.00234346 0.00530386 0.00957679 0.01477275 0.02058255],[0.00031622 0.00031764 0.0003205  0.0003246  0.00032976 0.00033585]
29,[0.49233232 0.44848677 0.41236056 0.38257539 0.35801783 0.3377789 ],[0.49059395 0.44563453 0.40663468 0.37269804 0.34309146 0.31720698],[0.00139514 0.00250574 0.00537477 0.00952046 0.01456273 0.02020065],[0.00034323 0.00034649 0.00035111 0.00035689 0.00036365 0.00037126]
30,[0.48882023 0.4453662  0.4095817  0.38008263 0.35575593 0.33569656],[0.48690654 0.44239898 0.40382169 0.37026955 0.3410054  0.31542048],[0.00152299 0.00257067 0.00535634 0.00940123 0.01432959 0.01984527],[0.00039069 0.00039655 0.00040367 0.00041185 0.00042094 0.00043082]
31,[0.46499802 0.42382918 0.3898477  0.36178893 0.33862541 0.31951441],[0.46280835 0.42057524 0.38388484 0.35191883 0.32400368 0.29957796],[0.00174421 0.00280718 0.00551309 0.00941585 0.01416173 0.01946957],[0.00044546 0.00044677 0.00044977 0.00045425 0.00046    0.00046688]
32,[0.45724279 0.41687854 0.3835686  0.35606267 0.33334843 0.31459797],[0.45485236 0.41345481 0.3775043  0.34618851 0.3188412  0.29490875],[0.00190992 0.00293857 0.00557294 0.00937525 0.01399958 0.01917178],[0.00048052 0.00048516 0.00049136 0.00049892 0.00050766 0.00051743]
33,[0.47424081 0.43237747 0.39778761 0.36919624 0.34556745 0.32605119],[0.47156619 0.42865065 0.39133949 0.3588081  0.33037811 0.30548403],[0.00211582 0.00316462 0.00588032 0.0098128  0.0146048  0.01997194],[0.00055881 0.0005622  0.0005678  0.00057533 0.00058454 0.00059522]
34,[0.49643129 0.45279549 0.41678074 0.38702635 0.3624347  0.342111  ],[0.49336798 0.44868101 0.40988363 0.37608782 0.34656792 0.32072302],[0.00245727 0.00349694 0.00626602 0.01029215 0.01520363 0.02070681],[0.00060604 0.00061754 0.00063109 0.00064638 0.00066315 0.00068118]
35,[0.49224395 0.44894086 0.41321422 0.38369835 0.35929655 0.33911809],[0.48884862 0.44458345 0.40617767 0.37273585 0.34352965 0.31795834],[0.002716   0.00366205 0.00632295 0.0102288  0.0150115  0.0203813 ],[0.00067932 0.00069536 0.0007136  0.0007337  0.0007554  0.00077846]
36,[0.51274269 0.4677922  0.43061289 0.39984708 0.37439147 0.35334039],[0.50890771 0.46278269 0.42265017 0.38763164 0.35700427 0.33016539],[0.00311312 0.00428487 0.00723211 0.01147605 0.01663652 0.02241081],[0.00072186 0.00072464 0.00073061 0.00073939 0.00075067 0.00076419]
37,[0.47445022 0.43302197 0.39876273 0.37041312 0.34695197 0.32754271],[0.47018067 0.42769506 0.39074383 0.35850913 0.33031935 0.30561566],[0.00343787 0.00448895 0.00717116 0.01104347 0.01575673 0.02103355],[0.00083168 0.00083796 0.00084774 0.00086053 0.0008759  0.0008935 ]
38,[0.45144195 0.41200283 0.37941616 0.35245731 0.33014014 0.31166183],[0.44668679 0.40639174 0.37139128 0.34088444 0.31421777 0.29085098],[0.0038543  0.0046896  0.00707967 0.01060142 0.0149225  0.01978075],[0.00090085 0.0009215  0.0009452  0.00097146 0.00099987 0.0010301 ]
39,[0.54082839 0.49346539 0.45426486 0.42179726 0.39490392 0.3726356 ],[0.53555286 0.48710807 0.4449523  0.40815742 0.37596218 0.34773358],[0.00425799 0.00531781 0.0082473  0.01254557 0.01781566 0.0237417 ],[0.00101754 0.0010395  0.00106526 0.00109426 0.00112608 0.00116031]
40,[0.51778829 0.47270801 0.43539579 0.40448943 0.37888432 0.35767559],[0.51181242 0.46562937 0.42544447 0.39037201 0.35968453 0.33277674],[0.00484358 0.00591797 0.00875781 0.01288728 0.01792981 0.02358632],[0.00113228 0.00116066 0.00119352 0.00123014 0.00126998 0.00131253]
41,[0.48884701 0.44636665 0.4112213  0.38211681 0.35800647 0.33803479],[0.48218931 0.43870717 0.40088975 0.36789381 0.33902859 0.31372075],[0.00540998 0.00637269 0.00900134 0.01284576 0.01755056 0.02283412],[0.00124772 0.00128679 0.00133021 0.00137724 0.00142732 0.00147993]
42,[0.50087666 0.45725124 0.42110444 0.39114136 0.36630793 0.34573727],[0.4934208  0.44868023 0.40970738 0.37566402 0.34585953 0.31971722],[0.00613901 0.00723493 0.01003575 0.01408564 0.01902187 0.02455482],[0.00131685 0.00133608 0.00136131 0.00139169 0.00142654 0.00146523]
43,[0.48489043 0.44259511 0.40753235 0.37846036 0.35436534 0.33441113],[0.47635775 0.43301594 0.39523899 0.36222698 0.33331913 0.30796223],[0.00699639 0.00802836 0.01072072 0.01463254 0.01941157 0.02477561],[0.00153629 0.0015508  0.00157264 0.00160084 0.00163463 0.0016733 ]
