,inner_loss,inner_loss_b,inner_loss_f
0,[10.75742414  5.32712699  3.42856676  2.78422306  2.50049762  2.27761069],[1.05667293 0.51406128 0.3245197  0.26033533 0.23218738 0.21014732],[0.19069483 0.1865142  0.18336973 0.18086978 0.17862379 0.17613752]
1,[10.80759241  5.44985866  3.56416067  2.91306551  2.60779377  2.35200402],[1.05951407 0.52425957 0.33610963 0.27136762 0.2412053  0.21605301],[0.21245175 0.20726293 0.20306443 0.19938929 0.1957408  0.19147392]
2,[10.59068024  5.27130845  3.4059414   2.7704932   2.47690441  2.2328451 ],[1.03852811 0.50705614 0.32087248 0.25761494 0.22852852 0.20443948],[0.20539911 0.20074703 0.19721665 0.19434377 0.19161918 0.18845034]
3,[10.02547123  5.12878708  3.41153017  2.81782128  2.5337861   2.29128226],[0.97844522 0.4892662  0.31790906 0.25883701 0.23071904 0.20680691],[0.24101902 0.23612512 0.23243961 0.22945118 0.2265957  0.22321317]
4,[10.81691577  5.33983178  3.39920628  2.7403755   2.43815479  2.18643825],[1.06150063 0.51426529 0.32059116 0.25506286 0.22521262 0.20049257],[0.20190957 0.19717891 0.19329469 0.18974687 0.18602861 0.1815125 ]
5,[10.28247967  5.10020688  3.28648572  2.67746405  2.40023535  2.17040736],[1.00566357 0.4879332  0.30694509 0.2463688  0.21897994 0.19642128],[0.22584391 0.22087488 0.21703483 0.213776   0.21043593 0.20619452]
6,[10.12210128  5.05933997  3.29407806  2.70335194  2.42805876  2.19249228],[0.98777611 0.48200575 0.30586976 0.24712952 0.21994552 0.1968264 ],[0.24434021 0.23928248 0.23538046 0.23205671 0.22860358 0.22422829]
7,[9.50132937 4.45163931 2.69821089 2.13850762 1.9092334  1.73194389],[0.93042733 0.42587778 0.25085189 0.19513383 0.17244083 0.15498174],[0.19705606 0.19286149 0.18969203 0.18716933 0.18482513 0.1821265 ]
8,[10.36619501  5.27976063  3.51191326  2.91159293  2.61023609  2.33542326],[1.01336657 0.50524431 0.32888479 0.2692342  0.23951082 0.21256425],[0.23252932 0.22731749 0.22306534 0.21925089 0.21512786 0.20978071]
9,[9.65957351 4.83336975 3.14031077 2.57211329 2.2993516  2.05993143],[0.94606862 0.4638559  0.29486854 0.23831998 0.21132659 0.18774303],[0.19888735 0.19481076 0.19162539 0.1889135  0.1860857  0.18250111]
10,[9.75992907 4.87099874 3.16915336 2.60080035 2.32730877 2.08688555],[0.95654905 0.46803903 0.29814567 0.24154048 0.21440133 0.1905938 ],[0.19443863 0.19060845 0.18769661 0.18539556 0.18329551 0.18094753]
