,inner_loss,inner_loss_b,inner_loss_f
0,[0.01025778 0.01013775 0.01002215 0.00991071 0.00980314 0.00969919],"[4.24749607e-05 3.90264719e-05 3.58827890e-05 3.30210092e-05
 3.04166913e-05 2.80491591e-05]",[0.00983303 0.00974749 0.00966332 0.0095805  0.00949898 0.0094187 ]
1,[0.00951901 0.0094114  0.00930746 0.00920697 0.00910972 0.00901551],"[5.28053077e-05 4.93507555e-05 4.61653952e-05 4.32284879e-05
 4.05219035e-05 3.80286831e-05]",[0.00899096 0.00891789 0.00884581 0.00877468 0.0087045  0.00863522]
2,[0.00606312 0.00597491 0.00589018 0.00580871 0.00573031 0.00565478],"[6.38829989e-05 5.99582780e-05 5.63168119e-05 5.29379251e-05
 4.98031481e-05 4.68941215e-05]",[0.00542429 0.00537533 0.00532701 0.00527933 0.00523228 0.00518584]
3,[0.01633605 0.01589609 0.0154893  0.01511242 0.01476253 0.014437  ],"[6.41394424e-05 5.97843743e-05 5.64045421e-05 5.38663201e-05
 5.20519009e-05 5.08570421e-05]",[0.01569466 0.01529824 0.01492525 0.01457375 0.01424201 0.01392843]
4,[0.00736914 0.00726635 0.00716795 0.00707365 0.00698318 0.00689629],"[5.10249988e-05 4.79556705e-05 4.51525197e-05 4.25937823e-05
 4.02593229e-05 3.81313901e-05]",[0.00685889 0.00678679 0.00671642 0.00664771 0.00658058 0.00651497]
5,[0.00828992 0.0081464  0.00800954 0.00787882 0.00775379 0.00763402],"[5.45115182e-05 5.21670733e-05 5.00475125e-05 4.81303017e-05
 4.63959876e-05 4.48267679e-05]",[0.00774481 0.00762473 0.00750906 0.00739752 0.00728983 0.00718576]
6,[0.00711673 0.00702722 0.00694109 0.00685813 0.00677815 0.00670093],"[2.63162438e-05 2.47409431e-05 2.33199659e-05 2.20396031e-05
 2.08876290e-05 1.98524655e-05]",[0.00685357 0.00677981 0.00670789 0.00663774 0.00656927 0.0065024 ]
7,[0.01682018 0.01638505 0.01598111 0.01560551 0.01525574 0.01492947],"[6.70297022e-05 6.30031129e-05 5.99142467e-05 5.76392990e-05
 5.60710792e-05 5.51124675e-05]",[0.01614989 0.01575502 0.01538197 0.01502911 0.01469503 0.01437834]
8,[0.01143305 0.01115855 0.01090185 0.01066131 0.01043549 0.01022309],"[7.00820516e-05 6.54235906e-05 6.14107511e-05 5.79676765e-05
 5.50271824e-05 5.25296555e-05]",[0.01073223 0.01050432 0.01028774 0.01008163 0.00988521 0.00969779]
9,[0.01279244 0.01259871 0.01241322 0.01223539 0.0120647  0.01190066],"[7.55697656e-05 7.09259812e-05 6.67130511e-05 6.28935909e-05
 5.94316000e-05 5.62964858e-05]",[0.01203674 0.01188945 0.01174609 0.01160645 0.01147039 0.0113377 ]
10,[0.0158069  0.01534558 0.014919   0.0145237  0.01415655 0.01381481],"[6.30572464e-05 6.09727603e-05 5.95667463e-05 5.87334849e-05
 5.83798752e-05 5.84271180e-05]",[0.01517633 0.01473585 0.01432333 0.01393637 0.01357275 0.01323054]
11,[0.00581521 0.00571945 0.00562719 0.00553824 0.00545242 0.00536957],"[4.29323800e-05 4.04411150e-05 3.81382300e-05 3.60101452e-05
 3.40443874e-05 3.22287197e-05]",[0.00538589 0.00531503 0.00524581 0.00517814 0.00511198 0.00504728]
12,[0.01134297 0.01118136 0.01102606 0.01087667 0.01073283 0.0105942 ],"[7.18117610e-05 6.65482989e-05 6.17229917e-05 5.73020035e-05
 5.32546452e-05 4.95512839e-05]",[0.01062485 0.01051588 0.01040883 0.01030365 0.01020028 0.01009869]
